"function evaluation" "best-so-far f(x)"
4140 -2.40000e+01
4460 -2.30000e+01
4618 -2.20000e+01
5192 -2.10000e+01
5324 -2.00000e+01
5422 -1.90000e+01
6009 -1.80000e+01
6247 -1.70000e+01
6633 -1.60000e+01
6637 -1.50000e+01
6957 -1.40000e+01
7384 -1.30000e+01
7682 -1.20000e+01
7990 -1.10000e+01
8235 -1.00000e+01
8291 -9.00000e+00
8683 -8.00000e+00
8873 -7.00000e+00
9257 -6.00000e+00
9981 -6.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
10 -4.80000e+01
108 -4.70000e+01
169 -4.60000e+01
211 -4.50000e+01
658 -4.40000e+01
711 -4.30000e+01
979 -4.20000e+01
1087 -4.10000e+01
1160 -4.00000e+01
1520 -3.90000e+01
1632 -3.80000e+01
1761 -3.70000e+01
1831 -3.60000e+01
1920 -3.50000e+01
1999 -3.40000e+01
2198 -3.30000e+01
2316 -3.20000e+01
2399 -3.10000e+01
2637 -3.00000e+01
2663 -2.90000e+01
3175 -2.80000e+01
3799 -2.70000e+01
3934 -2.60000e+01
4124 -2.50000e+01
4327 -2.40000e+01
4960 -2.30000e+01
5031 -2.20000e+01
5701 -2.10000e+01
6126 -2.00000e+01
6286 -1.90000e+01
6779 -1.80000e+01
6801 -1.70000e+01
7357 -1.60000e+01
8179 -1.50000e+01
9033 -1.40000e+01
9184 -1.30000e+01
9722 -1.20000e+01
9736 -1.10000e+01
9774 -1.00000e+01
9981 -1.00000e+01
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
36 -4.70000e+01
79 -4.60000e+01
270 -4.50000e+01
309 -4.40000e+01
436 -4.30000e+01
479 -4.20000e+01
745 -4.10000e+01
796 -4.00000e+01
876 -3.90000e+01
919 -3.80000e+01
1591 -3.70000e+01
1657 -3.60000e+01
1701 -3.50000e+01
1895 -3.40000e+01
1954 -3.30000e+01
2219 -3.20000e+01
2576 -3.10000e+01
2586 -3.00000e+01
3042 -2.90000e+01
3152 -2.80000e+01
3614 -2.70000e+01
3998 -2.60000e+01
4057 -2.50000e+01
4198 -2.40000e+01
4515 -2.30000e+01
4588 -2.20000e+01
5242 -2.10000e+01
5362 -2.00000e+01
5363 -1.90000e+01
5499 -1.80000e+01
5627 -1.70000e+01
6664 -1.60000e+01
7107 -1.50000e+01
7452 -1.40000e+01
7808 -1.30000e+01
8023 -1.20000e+01
8362 -1.10000e+01
8523 -1.00000e+01
8527 -9.00000e+00
8613 -8.00000e+00
9981 -8.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
15 -4.80000e+01
48 -4.70000e+01
173 -4.60000e+01
252 -4.50000e+01
424 -4.30000e+01
529 -4.20000e+01
531 -4.10000e+01
679 -4.00000e+01
1049 -3.90000e+01
1071 -3.70000e+01
1475 -3.50000e+01
1831 -3.40000e+01
1879 -3.30000e+01
1881 -3.20000e+01
2216 -3.10000e+01
2312 -3.00000e+01
2747 -2.90000e+01
3151 -2.70000e+01
3244 -2.60000e+01
3565 -2.40000e+01
3610 -2.30000e+01
3784 -2.20000e+01
3871 -2.10000e+01
3942 -2.00000e+01
4179 -1.90000e+01
4546 -1.80000e+01
4891 -1.70000e+01
5036 -1.60000e+01
5093 -1.50000e+01
5124 -1.40000e+01
5374 -1.30000e+01
5497 -1.20000e+01
5767 -1.10000e+01
6553 -1.00000e+01
7089 -9.00000e+00
7110 -8.00000e+00
7760 -7.00000e+00
8663 -6.00000e+00
9459 -5.00000e+00
9837 -4.00000e+00
9981 -4.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
49 -4.80000e+01
142 -4.70000e+01
223 -4.60000e+01
231 -4.50000e+01
443 -4.40000e+01
475 -4.30000e+01
542 -4.20000e+01
553 -4.10000e+01
559 -4.00000e+01
927 -3.90000e+01
964 -3.80000e+01
1003 -3.70000e+01
1012 -3.60000e+01
1152 -3.50000e+01
1169 -3.40000e+01
1345 -3.30000e+01
1353 -3.20000e+01
1405 -3.10000e+01
1514 -3.00000e+01
1574 -2.90000e+01
1578 -2.80000e+01
1668 -2.70000e+01
1700 -2.60000e+01
1851 -2.50000e+01
1933 -2.40000e+01
2718 -2.30000e+01
2860 -2.20000e+01
3423 -2.10000e+01
3769 -2.00000e+01
4305 -1.90000e+01
4434 -1.80000e+01
5041 -1.70000e+01
5629 -1.60000e+01
6146 -1.50000e+01
6299 -1.40000e+01
7215 -1.30000e+01
7303 -1.20000e+01
7936 -1.10000e+01
8201 -1.00000e+01
8891 -9.00000e+00
9508 -8.00000e+00
9970 -7.00000e+00
9981 -7.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
24 -4.80000e+01
105 -4.70000e+01
259 -4.60000e+01
326 -4.50000e+01
334 -4.40000e+01
538 -4.30000e+01
598 -4.20000e+01
861 -4.10000e+01
1380 -4.00000e+01
1610 -3.90000e+01
1875 -3.80000e+01
2146 -3.70000e+01
2181 -3.60000e+01
2725 -3.50000e+01
2773 -3.40000e+01
3044 -3.30000e+01
3087 -3.20000e+01
3154 -3.10000e+01
3356 -3.00000e+01
3475 -2.90000e+01
3647 -2.80000e+01
3705 -2.70000e+01
3830 -2.60000e+01
4070 -2.50000e+01
4212 -2.40000e+01
4412 -2.30000e+01
4436 -2.20000e+01
4635 -2.10000e+01
4642 -2.00000e+01
4808 -1.90000e+01
4841 -1.80000e+01
5346 -1.70000e+01
5383 -1.60000e+01
5402 -1.50000e+01
6004 -1.40000e+01
6176 -1.30000e+01
6413 -1.20000e+01
6490 -1.10000e+01
6701 -1.00000e+01
7011 -9.00000e+00
7112 -8.00000e+00
7605 -7.00000e+00
7692 -6.00000e+00
7871 -5.00000e+00
7882 -4.00000e+00
8197 -3.00000e+00
8655 -2.00000e+00
8813 -1.00000e+00
9610 +4.73000e+02
9981 +4.73000e+02
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
2 -4.80000e+01
82 -4.70000e+01
225 -4.60000e+01
332 -4.40000e+01
482 -4.30000e+01
589 -4.20000e+01
721 -4.10000e+01
950 -4.00000e+01
1305 -3.80000e+01
1386 -3.70000e+01
1591 -3.60000e+01
1680 -3.40000e+01
1711 -3.30000e+01
1805 -3.20000e+01
1849 -3.10000e+01
1870 -3.00000e+01
2218 -2.90000e+01
2305 -2.80000e+01
2481 -2.70000e+01
2829 -2.60000e+01
2874 -2.50000e+01
2962 -2.40000e+01
